   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      300    0.002    0.000    0.002    0.000 codecs.py:186(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
      804    0.005    0.000    0.006    0.000 cp1252.py:18(encode)
        1    0.000    0.000    0.870    0.870 cp1252.py:22(decode)
        2    0.001    0.000    0.023    0.012 abc.py:117(__instancecheck__)
     22/2    0.000    0.000    0.020    0.010 abc.py:121(__subclasscheck__)
      204    0.001    0.000    0.001    0.000 ntpath.py:34(_get_bothseps)
      408    0.005    0.000    0.014    0.000 ntpath.py:44(normcase)
      204    0.003    0.000    0.004    0.000 ntpath.py:124(splitdrive)
      204    0.004    0.000    0.009    0.000 ntpath.py:180(split)
      204    0.002    0.000    0.007    0.000 ntpath.py:203(splitext)
      204    0.001    0.000    0.010    0.000 ntpath.py:214(basename)
       22    0.000    0.000    0.000    0.000 _collections_abc.py:409(__subclasshook__)
      204    0.003    0.000    0.006    0.000 genericpath.py:121(_splitext)
      204    0.004    0.000    0.004    0.000 __init__.py:119(getLevelName)
      204    0.001    0.000    0.003    0.000 __init__.py:160(<lambda>)
        1    0.000    0.000    0.001    0.001 __init__.py:219(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
      204    0.038    0.000    0.094    0.000 __init__.py:283(__init__)
      204    0.001    0.000    0.001    0.000 __init__.py:359(getMessage)
      204    0.000    0.000    0.001    0.000 __init__.py:423(usesTime)
      204    0.002    0.000    0.002    0.000 __init__.py:431(_format)
      204    0.000    0.000    0.003    0.000 __init__.py:438(format)
      204    0.001    0.000    0.002    0.000 __init__.py:643(usesTime)
      204    0.000    0.000    0.003    0.000 __init__.py:649(formatMessage)
      204    0.003    0.000    0.008    0.000 __init__.py:665(format)
      408    0.001    0.000    0.001    0.000 __init__.py:806(filter)
      408    0.002    0.000    0.002    0.000 __init__.py:912(acquire)
      408    0.000    0.000    0.002    0.000 __init__.py:919(release)
      204    0.000    0.000    0.009    0.000 __init__.py:932(format)
      204    0.002    0.000    0.037    0.000 __init__.py:955(handle)
      204    0.001    0.000    0.016    0.000 __init__.py:1077(flush)
      204    0.003    0.000    0.031    0.000 __init__.py:1088(emit)
      204    0.001    0.000    0.031    0.000 __init__.py:1204(emit)
        1    0.001    0.001    0.001    0.001 __init__.py:1307(disable)
      204    0.003    0.000    0.303    0.001 __init__.py:1467(info)
      204    0.129    0.001    0.146    0.001 __init__.py:1549(findCaller)
      204    0.002    0.000    0.096    0.000 __init__.py:1585(makeRecord)
      204    0.012    0.000    0.294    0.001 __init__.py:1600(_log)
