function,time,version
set_merge_10000,0.0010001659393310547,2.7.18
set_merge_500000,0.04800009727478027,2.7.18
set_merge_1000000,0.11999988555908203,2.7.18
set_merge_10000,0.0019998550415,3.0.1
set_merge_500000,0.0800001621246,3.0.1
set_merge_1000000,0.123000144958,3.0.1
set_merge_10000,0.0019998550415,3.1.4
set_merge_500000,0.0629999637604,3.1.4
set_merge_1000000,0.118000030518,3.1.4
set_merge_10000,0.0009999275207519531,3.2.5
set_merge_500000,0.06200003623962402,3.2.5
set_merge_1000000,0.125,3.2.5
set_merge_10000,0.0006079673767089844,3.3.5
set_merge_500000,0.050553083419799805,3.3.5
set_merge_1000000,0.1097419261932373,3.3.5
set_merge_10000,0.0,3.4.4
set_merge_500000,0.0499880313873291,3.4.4
set_merge_1000000,0.10407400131225586,3.4.4
set_merge_10000,0.0,3.5.4
set_merge_500000,0.04951810836791992,3.5.4
set_merge_1000000,0.12081432342529297,3.5.4
set_merge_10000,0.0,3.6.8
set_merge_500000,0.04401850700378418,3.6.8
set_merge_1000000,0.10209012031555176,3.6.8
set_merge_10000,0.0029036998748779297,3.7.9
set_merge_500000,0.04556727409362793,3.7.9
set_merge_1000000,0.10036516189575195,3.7.9
set_merge_10000,0.0010023117065429688,3.8.10
set_merge_500000,0.04855990409851074,3.8.10
set_merge_1000000,0.08760619163513184,3.8.10
set_merge_10000,0.0,3.9.13
set_merge_500000,0.04303598403930664,3.9.13
set_merge_1000000,0.0895993709564209,3.9.13
set_merge_10000,0.0010056495666503906,3.10.5
set_merge_500000,0.04379701614379883,3.10.5
set_merge_1000000,0.08335661888122559,3.10.5
set_merge_10000,0.0020165443420410156,3.11.3
set_merge_500000,0.043544769287109375,3.11.3
set_merge_1000000,0.09052562713623047,3.11.3
